Layer,C_paired_strat,C_perm_strat,Delta,p_value_raw,p_value_adj,null_z_score,Null_SD,Null_CI_lower,Null_CI_upper,Delta_Illegal_Activity,Delta_HateSpeech,Delta_Malware_Generation,Delta_Physical_Harm,Delta_Fraud,Delta_Sex,Norm_dT_mean,Norm_dT_median,Norm_dT_min,Norm_dT_std,Norm_dV_mean,Norm_dV_median,Norm_dV_min,Norm_dV_std
10,-0.00079604384,0.0055890023,-0.0063850456,0.8356316436835631,0.99990000099999,-0.9796846056964207,0.0065007096328647184,-0.012703872309066356,0.012733796099200835,-0.017054457,-0.009478154,-0.010373633,-0.009138603,-0.0048883273,0.012622898,12.136301040649414,11.522970199584961,4.943610191345215,3.3647677898406982,5.7976393699646,5.357065200805664,2.3565564155578613,2.3301219940185547
11,-0.0019234217,-0.0014079493,-0.00051547214,0.5340146598534015,0.992030079699203,-0.08428271252075943,0.005806552656854464,-0.011436964664608239,0.01127647298853843,-0.012027069,-0.006719434,0.0062578954,-0.007337002,0.012962268,0.0037705088,14.668648719787598,14.204432487487793,5.770527362823486,4.194507122039795,6.584297180175781,5.956860065460205,2.530029296875,2.61238694190979
12,-0.003926111,-0.002166342,-0.001759769,0.6279537204627954,0.99650003499965,-0.3246027145282087,0.005343411596913531,-0.010589591180905699,0.010422426508739584,-0.00422763,-0.007364704,0.0070904302,0.0008152826,0.0071935095,-0.014065502,15.098600387573242,14.702336311340332,6.579977512359619,4.043830871582031,6.734106063842773,6.413627624511719,2.618952989578247,2.580655336380005
13,0.0049372655,0.003979632,0.0009576339,0.42981570184298157,0.9815201847981521,0.18617146224109674,0.00531176909888107,-0.010514806397259236,0.01025778513867408,0.0072408207,-0.0040298165,-0.0040787756,-0.0032821558,0.007916864,0.0019788668,19.01294708251953,18.158979415893555,9.354475975036621,4.766763687133789,7.202184677124023,6.926287651062012,2.729830026626587,2.719266891479492
14,0.014322345,0.014053012,0.00026933322,0.4792852071479285,0.98730012699873,0.055223426346992795,0.005222486377631855,-0.010298731084913014,0.010085177468135942,0.00071292743,-0.000596297,-0.019892972,0.0009814107,0.00020028651,0.020210642,23.059032440185547,22.15886116027832,13.504569053649902,5.869919776916504,7.228237152099609,7.098755359649658,2.6803038120269775,2.7367656230926514
15,0.014086064,0.015676815,-0.0015907508,0.6043039569604304,0.996010039899601,-0.2650998364455209,0.005948660415516575,-0.011670062132179738,0.011569218290969718,0.003027074,-0.0010810159,-0.030259838,-0.003105016,-0.0014797151,0.023354007,27.392568588256836,27.0041446685791,14.041640281677246,6.843441009521484,7.660409450531006,7.4071269035339355,2.7546260356903076,2.8083298206329346
16,0.025270894,0.027558543,-0.002287645,0.6027239727602723,0.997510024899751,-0.2588445382492537,0.008816995459341068,-0.01729895588941872,0.016931451158598055,-0.0013188422,0.0064362194,-0.06586968,0.021435654,-0.001788497,0.027379274,36.326839447021484,36.12779998779297,15.474915504455566,9.371870040893555,8.311981201171875,7.9095587730407715,3.0239570140838623,3.0007712841033936
17,0.0376629,0.035581827,0.002081072,0.4217457825421746,0.96770032299677,0.21063928496114742,0.009981980600063278,-0.01954240472987294,0.019037255551666018,-0.013088204,0.004031319,-0.056803085,0.034145735,-0.0010126084,0.04521328,43.973724365234375,43.02860641479492,16.472028732299805,11.775431632995605,9.212905883789062,8.790154457092285,3.3641796112060547,3.3300628662109375
18,0.109797984,0.112427086,-0.0026291143,0.5641843581564184,0.997980020199798,-0.19257158429761392,0.013484318133583938,-0.02537227477878332,0.027071027830243108,-0.029706769,0.014461745,-0.039426006,-0.03437857,0.016833931,0.056440983,62.693275451660156,66.19541931152344,22.936689376831055,14.436964988708496,14.756648063659668,13.274603843688965,4.7658820152282715,6.081026554107666
19,0.1338997,0.1345707,-0.000671003,0.5049049509504905,0.99280007199928,-0.04086514625020289,0.015208358636668839,-0.028575880266726018,0.030581057537347054,-0.018808573,0.026378721,-0.038417414,-0.052990053,0.018500835,0.061310463,86.98910522460938,94.11470794677734,29.21721076965332,20.577619552612305,24.340763092041016,22.64659881591797,6.114873886108398,10.956661224365234
20,0.13733087,0.14389485,-0.006563971,0.6461935380646193,0.999920000799992,-0.4139302805998113,0.015743201798195428,-0.029217273974791166,0.03198396936058997,-0.024777919,0.031727716,-0.039314926,-0.06917687,0.020424932,0.04173324,118.95387268066406,129.20542907714844,38.19129943847656,28.700368881225586,36.83216857910156,32.91597366333008,7.564443111419678,17.559030532836914
21,0.12374828,0.13211866,-0.008370377,0.6931030689693103,0.999970000299997,-0.5431766161856935,0.015320974010500202,-0.028195748245343565,0.03131693117320535,-0.020130776,0.02810695,-0.03394562,-0.07082047,0.016072094,0.030495562,152.56280517578125,167.03155517578125,50.300025939941406,35.64381408691406,46.4049186706543,41.38870620727539,8.771777153015137,22.584392547607422
22,0.11417679,0.12200271,-0.007825927,0.6920930790692094,0.999960000399996,-0.5361487636274924,0.014499918465381486,-0.02692350442521274,0.02940887142904102,-0.018300965,0.025093436,-0.025389493,-0.065332316,0.013942391,0.023031382,197.64822387695312,212.65138244628906,73.95541381835938,43.38751220703125,57.773277282714844,52.19728469848633,10.566360473632812,27.783632278442383
23,0.12401395,0.13039167,-0.006377718,0.6478235217647823,0.99990000099999,-0.41856244800219405,0.015094471868010753,-0.027877629967406392,0.030637986771762354,-0.016750954,0.02030985,-0.023923859,-0.059899393,0.017747343,0.02425071,242.14488220214844,258.51116943359375,84.35519409179688,54.565731048583984,68.4072265625,61.45318603515625,11.80430793762207,33.780982971191406
24,0.1283919,0.12933207,-0.0009401518,0.5090149098509015,0.993960060399396,-0.05769096927096585,0.015041859900761411,-0.027862651646137236,0.030468795588240026,-0.0062860325,0.0240869,-0.021844834,-0.05046289,0.024187565,0.024678381,299.349609375,323.83526611328125,100.64324188232422,68.19242858886719,82.47557830810547,75.26634216308594,13.419188499450684,40.157020568847656
25,0.12613373,0.1236973,0.0024364134,0.4209457905420946,0.9618903810961891,0.17103980926892612,0.014671739593241149,-0.02726866863667965,0.02968108020722865,-0.003718324,0.024639055,-0.012222365,-0.042397354,0.02451694,0.023800528,371.74249267578125,404.0315856933594,125.37998962402344,83.95541381835938,95.3809814453125,86.81855010986328,14.995936393737793,46.44963455200195
26,0.114010185,0.10528543,0.008724752,0.24681753182468175,0.7202527974720253,0.6821390609182659,0.012895951415680576,-0.02422004323452711,0.02585520767606793,0.004944168,0.027049825,-0.0040943176,-0.024215106,0.03710197,0.01156197,430.53521728515625,449.8407287597656,146.83885192871094,89.06864166259766,110.23704528808594,103.68158721923828,19.21417236328125,51.8942756652832
27,0.09272667,0.07449177,0.0182349,0.06859931400685994,0.24479755202447975,1.5046520750332415,0.012171992457395284,-0.023613998712971804,0.02407010630704462,0.03109406,0.021193378,0.0022785366,-0.003123626,0.033543512,0.02442354,177.65826416015625,186.921142578125,58.80205535888672,33.753543853759766,61.76557922363281,58.236328125,11.15852165222168,27.749858856201172
